gene_symbol	Blood and lymphatic system disorders	Cardiac disorders	Ear and labyrinth disorders	Endocrine disorders	Eye disorders	Gastrointestinal disorders	Hepatobiliary disorders	Immune system disorders	Metabolism and nutrition disorders	Musculoskeletal and connective tissue disorders	Nervous system disorders	Pregnancy, puerperium and perinatal conditions	Renal and urinary disorders	Reproductive system and breast disorders	Respiratory, thoracic and mediastinal disorders	Skin and subcutaneous tissue disorders	Vascular disorders
SRGAP3	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.0	0.1	0.1	0.1
SRGN	0.0	0.0	0.2	0.0	0.1	0.0	0.1	0.0	0.0	0.3	0.0	0.0	0.0	0.2	0.2	0.0	0.0
SRI	0.1	0.2	0.1	0.1	0.4	0.4	0.1	0.1	0.0	0.3	0.1	0.0	0.1	0.1	0.2	0.1	0.1
SRL	0.2	0.1	0.0	0.0	0.2	0.1	0.2	0.0	0.3	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.1
SRM	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.2	0.3	0.3	0.0	0.2	0.0	0.2
SRMS	0_confirmed	0.5	0.0	0_confirmed	0.2	0.1	0_confirmed	0_confirmed	0.8	0.2	0.3	0.3	0_confirmed	0.1	0_confirmed	0_confirmed	0.1
SRP14	0.1	0.1	0.3	0.1	0.0	0.2	0.2	0.1	0.1	0.0	0.1	0.2	0.1	0.0	0.0	0.0	0.0
SRP19	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	0.1	0.6	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed
SRP54	0.2	0.0	0.1	0.0	0.2	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.2	0.1
SRP68	0.2	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.2	0.2	0.1
SRP72	0.1	0.2	0.2	0.0	0.0	0.2	0.2	0.2	0.1	0.0	0.1	0.3	0.1	0.2	0.0	0.0	0.0
SRP9	0.3	0.0	0.1	0.3	0.0	0.0	0.0	0.1	0.2	0.0	0.0	0.0	0.3	0.0	0.3	0.0	0.0
SRPK1	0.1	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.1	0.0	0.0	0.0	0.1
SRPK2	0.2	0.0	0.1	0.1	0.1	0.1	0.3	0.1	0.3	0.0	0.1	0.2	0.1	0.1	0.0	0.2	0.0
SRPK3	0.2	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.2
SRPRA	0.0	0.1	0.1	0.3	0.0	0.1	0.0	0.1	0.0	0.1	0.2	0.1	0.1	0.0	0.3	0.0	0.0
SRPRB	0_confirmed	0_confirmed	0.1	0_confirmed	0.1	0_confirmed	0.1	0.1	0.0	0.0	0_confirmed	0.1	0.1	0.1	0_confirmed	0.0	0_confirmed
SRPX	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0
SRPX2	0.0	0.0	0.0	0.2	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.2	0.0	0.1	0.0	0.0	0.1
SRR	0.0	0.0	0.2	0.0	0.0	0.3	0.2	0.0	0.3	0.1	0.0	0.2	0.0	0.0	0.0	0.1	0.0
SRRD	0.1	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0
SRRM1	0.1	0.2	0.1	0.1	0.1	0.2	0.1	0.1	0.0	0.0	0.1	0.0	0.1	0.2	0.0	0.1	0.0
SRRM2	0.0	0.0	0.2	0.0	0.1	0.0	0.1	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.3	0.1	0.1
SRRM3	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.1	0.2	0.2	0.1	0.1	0.0	0.1	0.0	0.2	0.0
SRRM4	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.2	0.0	0.0	0.2	0.3	0.0	0.0	0.0	0.2	0.0
SRRM5	0.0	0.0	0.2	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.2	0.0
SRRT	0.1	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.2	0.2	0.1	0.3	0.2
SRSF1	0.1	0.3	0.0	0.0	0.1	0.0	0.0	0.0	0.3	0.0	0.0	0.3	0.3	0.0	0.0	0.1	0.2
SRSF10	0.0	0.0	0.2	0.1	0.2	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0
SRSF11	0.0	0.1	0.0	0.1	0.2	0.2	0.1	0.0	0.3	0.2	0.2	0.3	0.0	0.1	0.3	0.0	0.2
SRSF12	0.2	0.2	0.2	0.1	0.1	0.0	0.2	0.0	0.0	0.1	0.0	0.2	0.1	0.3	0.2	0.0	0.1
SRSF2	0.2	0.0	0.1	0.2	0.0	0.0	0.2	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.2	0.2
SRSF3	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.2	0.2	0.0	0.1	0.0	0.0	0.1	0.1	0.0
SRSF4	0.0	0.0	0.0	0.0	0.2	0.3	0.0	0.0	0.2	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0
SRSF5	0.3	0.1	0.1	0.1	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.1	0.2	0.0	0.0	0.0	0.2
SRSF6	0.2	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.2	0.1	0.0	0.1	0.0	0.0	0.2	0.0
SRSF7	0.2	0.3	0.1	0.0	0.0	0.2	0.2	0.0	0.2	0.2	0.2	0.0	0.1	0.0	0.1	0.0	0.0
SRSF8	0.0	0.1	0.1	0.1	0.0	0.0	0.2	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.2	0.0
SRSF9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.2	0.2	0.0	0.0	0.0	0.1	0.0
SRXN1	0.1	0.1	0.2	0.1	0.1	0.1	0.2	0.2	0.0	0.0	0.0	0.3	0.0	0.1	0.1	0.0	0.0
SRY	0.0	0.1	0.2	0.3	0.0	0.1	0.1	0.0	0.3	0.2	0.3	0.0	0.1	0.0	0.2	0.0	0.0
SS18	0.1	0.0	0.1	0.1	0.0	0.3	0.1	0.3	0.1	0.0	0.1	0.0	0.1	0.0	0.2	0.1	0.0
SS18L1	0.1	0.3	0.1	0.0	0.0	0.1	0.1	0.3	0.0	0.3	0.0	0.1	0.0	0.3	0.0	0.1	0.0
SS18L2	0.0	0.1	0.0	0.0	0.2	0.1	0.1	0.2	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
SSB	0.3	0.1	0.0	0.0	0.0	0.0	0.1	0.2	0.0	0.0	0.2	0.2	0.0	0.0	0.0	0.3	0.2
SSBP1	0.3	0.0	0.1	0.2	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.1	0.0	0.0	0.0
SSBP2	0.3	0.0	0.3	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.0	0.2	0.0	0.0	0.2	0.2	0.0
SSBP3	0.2	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.2	0.0	0.1	0.0	0.0	0.2	0.2
SSBP4	0.1	0.3	0.0	0.2	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.0	0.1	0.1	0.1
SSC4D	0.0	0.2	0.0	0.2	0.0	0.1	0.1	0.3	0.1	0.0	0.0	0.1	0.0	0.0	0.3	0.2	0.0
SSC5D	0.1	0.1	0.1	0.2	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.0	0.3	0.3	0.1	0.2	0.1
SSH1	0.2	0.2	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.1	0.1	0.0	0.2	0.1	0.0
SSH2	0.1	0.0	0.2	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.3	0.1	0.2	0.1	0.1	0.0	0.0
SSH3	0.0	0.0	0.2	0.1	0.2	0.0	0.0	0.0	0.3	0.1	0.0	0.0	0.0	0.1	0.3	0.0	0.1
SSMEM1	0.1	0.0	0.0	0.0	0.2	0.1	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1
SSNA1	0.2	0.2	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
SSPN	0.1	0.2	0.0	0.1	0.0	0.1	0.2	0.3	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.2	0.0
SSR1	0.1	0.3	0.0	0.1	0.0	0.2	0.2	0.1	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0
SSR2	0.0	0.1	0.1	0.0	0.1	0.0	0.2	0.0	0.0	0.2	0.2	0.2	0.0	0.0	0.0	0.0	0.2
SSR3	0.0	0.2	0.2	0.0	0.1	0.2	0.2	0.1	0.3	0.3	0.0	0.1	0.1	0.1	0.1	0.2	0.1
SSR4	0.1	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.2	0.0	0.1	0.0	0.0	0.0	0.1
SSRP1	0.2	0.2	0.2	0.1	0.1	0.3	0.2	0.1	0.0	0.1	0.0	0.1	0.1	0.2	0.0	0.0	0.0
SST	0.0	0.3	0.2	0.3	0.0	0.3	0.1	0.2	0.1	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.0
SSTR1	0.1	0.1	0.1	1_confirmed	0.2	1_confirmed	1_confirmed	0.1	1_confirmed	0.3	0.4	0.8	0.1	0.1	0.3	0.2	0.2
SSTR2	0.0	0.2	0.0	1_confirmed	0.0	1_confirmed	1_confirmed	0.1	1_confirmed	0.1	0.1	0.5	0.1	0.0	0.0	0.2	0.1
SSTR3	0.1	0.1	0.2	1_confirmed	0.0	1_confirmed	1_confirmed	0.4	1_confirmed	0.1	0.2	0.9	0.1	0.2	0.1	0.1	0.1
SSTR4	0.2	0.0	0.1	1_confirmed	0.0	0.8	0.6	0.1	0.9	0.1	0.1	0.4	0.1	0.0	0.1	0.3	0.1
SSTR5	0.1	0.0	0.0	1_confirmed	0.0	1_confirmed	1_confirmed	0.3	1_confirmed	0.1	0.1	0.4	0.0	0.0	0.1	0.1	0.1
SSU72	0.1	0.1	0.0	0.2	0.1	0.0	0.2	0.1	0.2	0.0	0.0	0.0	0.0	0.0	0.3	0.1	0.1
SSUH2	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.2	0.2	0.0	0.2
SSX1	0.0	0.1	0.2	0.2	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.1	0.2	0.1
SSX2	0.1	0.0	0.2	0.0	0.1	0.0	0.0	0.1	0.1	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.0
SSX2B	0.0	0.1	0.0	0.0	0.0	0.2	0.0	0.0	0.1	0.1	0.2	0.2	0.1	0.0	0.3	0.1	0.0
SSX2IP	0.0	0.0	0.0	0.0	0.2	0.0	0.1	0.0	0.1	0.2	0.2	0.0	0.1	0.1	0.2	0.2	0.2
SSX3	0.3	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0
SSX4	0.0	0.1	0.3	0.1	0.0	0.2	0.1	0.1	0.0	0.0	0.2	0.0	0.0	0.3	0.1	0.1	0.3
SSX4B	0.3	0.0	0.0	0.3	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.2	0.1	0.2
SSX5	0.0	0.0	0.1	0.1	0.1	0.0	0.2	0.2	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.3	0.1
SSX7	0.1	0.2	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.1	0.0	0.3	0.0	0.2	0.1	0.0	0.0
ST13	0.2	0.0	0.0	0.1	0.1	0.1	0.1	0.2	0.0	0.0	0.2	0.1	0.1	0.0	0.2	0.2	0.0
ST14	0.2	0.0	0.0	0.3	0.2	0.0	0.1	0.1	0.2	0.1	0.0	0.0	0.2	0.0	0.1	0.0	0.0
ST18	0.0	0.3	0.1	0.0	0.2	0.1	0.1	0.0	0.0	0.0	0.1	0.3	0.3	0.3	0.0	0.1	0.0
ST20	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.3	0.2	0.0	0.1	0.3	0.2	0.0	0.0
ST20-MTHFS	0.1	0.3	0.0	0.1	0.0	0.0	0.1	0.2	0.2	0.0	0.1	0.2	0.0	0.2	0.0	0.2	0.3
ST3GAL1	0.3	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.2	0.1	0.2	0.0	0.1
ST3GAL2	0.0	0.0	0.2	0.2	0.1	0.1	0.2	0.0	0.1	0.0	0.1	0.2	0.2	0.0	0.0	0.2	0.3
ST3GAL3	0.1	0.0	0.2	0.0	0.2	0.0	0.1	0.0	0.2	0.1	0.1	0.2	0.0	0.0	0.2	0.2	0.0
ST3GAL4	0.0	0.0	0.2	0.2	0.2	0.0	0.0	0.2	0.2	0.2	0.0	0.0	0.1	0.0	0.0	0.0	0.0
ST3GAL5	0.2	0.3	0.1	0.1	0.2	0.0	0.1	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.0
ST3GAL6	0.0	0.1	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.3	0.0	0.0	0.1	0.0
ST6GAL1	0_confirmed	0.0	0.3	0.0	0.0	0.1	0.2	0.1	0.0	0.2	0.0	0.2	0.1	0.0	0_confirmed	0_confirmed	0_confirmed
ST6GAL2	0.1	0.0	0.0	0.1	0.3	0.0	0.3	0.3	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.1	0.0
ST6GALNAC1	0.0	0.1	0.1	0.1	0.2	0.0	0.1	0.0	0.3	0.0	0.2	0.2	0.0	0.0	0.1	0.0	0.0
ST6GALNAC2	0.3	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.3	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.2
ST6GALNAC3	0.0	0.2	0.2	0.1	0.1	0.3	0.2	0.3	0.0	0.1	0.3	0.1	0.1	0.1	0.1	0.1	0.2
ST6GALNAC4	0.0	0.1	0.1	0.1	0.2	0.0	0.0	0.1	0.2	0.1	0.2	0.0	0.0	0.1	0.0	0.2	0.0
ST6GALNAC5	0.0	0.1	0.1	0.1	0.1	0.0	0.0	0.1	0.1	0.2	0.2	0.0	0.0	0.0	0.1	0.0	0.0
ST6GALNAC6	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.3	0.0	0.1	0.0	0.0
ST7	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.2	0.2	0.2	0.1	0.0	0.0	0.0
ST7L	0.0	0.0	0.2	0.0	0.3	0.3	0.1	0.1	0.2	0.0	0.1	0.1	0.1	0.0	0.3	0.0	0.1
ST8SIA1	0.0	0.0	0.0	0.0	0.3	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.3	0.0	0.1	0.0	0.1
ST8SIA2	0.0	0.2	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.0	0.1	0.1	0.2	0.1	0.3	0.0	0.1
ST8SIA3	0.0	0.2	0.3	0.1	0.2	0.0	0.1	0.1	0.0	0.1	0.1	0.0	0.3	0.1	0.1	0.0	0.0
ST8SIA4	0.0	0.2	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.2	0.2	0.0	0.0	0.0	0.2	0.2	0.0
ST8SIA5	0.1	0.2	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.2	0.3	0.2
ST8SIA6	0.2	0.0	0.1	0.0	0.0	0.1	0.2	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.2	0.0	0.1
STAB1	0.1	0.0	0.1	0.2	0.0	0.0	0.2	0.0	0.0	0.0	0.2	0.1	0.0	0.0	0.1	0.0	0.0
STAB2	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1
STAC	0.0	0.2	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.2	0.0	0.0	0.0	0.0
STAC2	0.0	0.5	0.2	0.2	0.2	0.1	0.2	0.1	0.1	0.1	0.2	0.1	0.5	0.3	0.2	0.1	0.1
STAC3	0.0	0.4	0.4	0.1	0.2	0.1	0.0	0.1	0.2	0.1	0.3	0.6	0.1	0.2	0.1	0.1	0.1
STAG1	0.0	0.2	0.0	0.2	0.2	0.1	0.3	0.1	0.0	0.0	0.0	0.2	0.1	0.2	0.0	0.1	0.0
STAG2	0.6	0.2	0.0	0.5	0.1	0.2	0.2	0.6	0.2	0.2	0.2	0.0	0.4	0.1	0.4	1_confirmed	0.1
STAG3	0.0	0.2	0.2	0.0	0_confirmed	0.0	0.0	0.1	0_confirmed	0_confirmed	0_confirmed	0.3	0_confirmed	0.1	0.1	0.1	0_confirmed
STAM	0.1	0.2	0.0	0.1	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.0	0.0	0.2	0.0	0.1	0.1
STAM2	0.0	0.1	0.0	0.1	0.0	0.0	0.1	0.1	0.2	0.1	0.0	0.1	0.1	0.0	0.1	0.1	0.2
STAMBP	0.1	0.0	0.3	0.0	0.0	0.3	0.0	0.1	0.2	0.0	0.0	0.3	0.2	0.1	0.0	0.0	0.0
STAMBPL1	0.1	0.2	0.1	0.2	0.0	0.1	0.2	0.2	0.1	0.0	0.1	0.2	0.1	0.0	0.1	0.0	0.2
STAP1	0.2	0.2	0.0	0.1	0.1	0.1	0.1	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.1
STAP2	0.3	0.2	0.0	0.0	0.1	0.0	0.1	0.2	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.0
STAR	0.2	0.2	0.0	0.2	0.0	0.1	0.0	0.2	0.0	0.0	0_confirmed	0.1	0.0	0.0	0.0	0_confirmed	0.0
STARD10	0.1	0.2	0.1	0.2	0.0	0.0	0.0	0.2	0.3	0.3	0.1	0.1	0.1	0.0	0.0	0.0	0.1
STARD13	0.0	0.0	0.0	0.2	0.1	0.0	0.2	0.0	0.1	0.1	0.2	0.2	0.0	0.1	0.0	0.0	0.0
STARD3	0.0	0.0	0.2	0.1	0.1	0.2	0.0	0.2	0.0	0.0	0.1	0.0	0.2	0.1	0.0	0.0	0.1
STARD3NL	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.3	0.0	0.0	0.1	0.0	0.2	0.0	0.1	0.0	0.1
STARD4	0.2	0.0	0.1	0.2	0.1	0.1	0.0	0.3	0.2	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.1
STARD5	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.2	0.1	0.0	0.0	0.3	0.1	0.2	0.0	0.2	0.1
STARD6	0.0	0.3	0.1	0.0	0.0	0.0	0.0	0.0	0.3	0.1	0.1	0.2	0.0	0.0	0.1	0.0	0.0
STARD7	0.2	0.2	0.2	0.3	0.2	0.0	0.0	0.1	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.1
STARD8	0.1	0.3	0.0	0.1	0.1	0.0	0.0	0.2	0.0	0.3	0.0	0.3	0.1	0.1	0.0	0.0	0.0
STARD9	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.2	0.1	0.0	0.0	0.0	0.3	0.2	0.0	0.1	0.0
STAT1	0.1	0.1	0_confirmed	0.1	0.2	0_confirmed	0.4	0.3	0_confirmed	0_confirmed	0_confirmed	0.0	0_confirmed	0.2	0_confirmed	0.1	0_confirmed
STAT2	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.2	0.1	0.0	0.1	0.3	0.1
STAT3	0.6	0.4	0.1	0.2	0.1	0.4	0.9	0.7	0.7	0.4	0.2	0.1	0.2	0.1	0.5	0.9	0.8
STAT4	0_confirmed	0.1	0_confirmed	0.1	0_confirmed	0.1	0.2	0_confirmed	0_confirmed	0.1	0_confirmed	0.1	0_confirmed	0_confirmed	0_confirmed	0.0	0_confirmed
STAT5A	0.0	0.2	0.0	0.1	0.1	0.0	0.4	0.1	0.6	0_confirmed	0.1	0.0	0.2	0_confirmed	0.3	0.3	0.2
STAT5B	0_confirmed	0.1	0.0	0.1	0.1	0.1	0.1	0.2	0.4	0.1	0.1	0.1	0_confirmed	0.0	0.3	0.3	0.2
STAT6	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.3	0.2	0.0	0.0	0.0
STATH	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.1	0.1	0.0
STAU1	0.1	0.1	0.0	0.2	0.2	0.0	0.2	0.0	0.0	0.1	0.2	0.2	0.0	0.1	0.0	0.0	0.1
STAU2	0.1	0.0	0.2	0.0	0.2	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0
STBD1	0.2	0.1	0.1	0.0	0.0	0.1	0.0	0.1	0.0	0.2	0.1	0.0	0.1	0.2	0.3	0.0	0.0
STC1	0.1	0.0	0.2	0.0	0.2	0.0	0.1	0.0	0.0	0.2	0.1	0.2	0.1	0.0	0.2	0.0	0.1
STC2	0.0	0.1	0.0	0.1	0.2	0.2	0.1	0.0	0.2	0.2	0.2	0.1	0.0	0.0	0.0	0.1	0.0
STEAP1	0.2	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.3	0.1	0.0	0.2	0.1	0.1	0.0
STEAP1B	0.1	0.1	0.0	0.0	0.1	0.0	0.3	0.1	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.1
STEAP2	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.2	0.0	0.0	0.0
STEAP3	0.0	0.2	0.0	0.2	0.1	0.2	0.2	0.2	0.1	0.2	0.1	0.0	0.0	0.0	0.0	0.3	0.1
STEAP4	0.0	0.1	0.1	0.2	0.0	0.1	0.0	0.0	0.1	0.0	0.2	0.3	0.2	0.0	0.0	0.0	0.2
STH	0.1	0.2	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.1	0.2	0.2	0.2	0.0	0.0	0.0	0.2
STIL	0.0	0.2	0.1	0.0	0.0	0.2	0.0	0.2	0.1	0.0	0.1	0.1	0.0	0.0	0.3	0.0	0.1
STIM1	0.2	0.2	0.1	0.2	0.1	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.2	0.0	0.0	0.1	0.0
STIM2	0.2	0.0	0.2	0.1	0.1	0.0	0.2	0.0	0.0	0.2	0.1	0.0	0.0	0.3	0.0	0.1	0.0
STIMATE	0.1	0.0	0.1	0.0	0.0	0.2	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0
STIMATE-MUSTN1	0.0	0.0	0.0	0.2	0.0	0.0	0.1	0.2	0.1	0.0	0.0	0.2	0.1	0.2	0.1	0.2	0.1
STING1	0.0	0.0	0.0	0.2	0.2	0.0	0.1	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.2
STIP1	0.3	0.1	0.0	0.1	0.2	0.2	0.1	0.0	0.1	0.1	0.3	0.1	0.0	0.2	0.1	0.0	0.2
STK10	0_confirmed	0.1	0_confirmed	0_confirmed	0_confirmed	0.0	0.0	0.2	0.2	0_confirmed	0.0	0.0	0.2	0.3	0_confirmed	0_confirmed	0_confirmed
STK11	1_confirmed	0.3	0.3	0.6	0.1	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	0.1	1_confirmed	0.4	1_confirmed	1_confirmed	1_confirmed
STK11IP	0.0	0.1	0.1	0.4	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.3	0.1	0.3	0.3	0.1	0.1
STK16	0.2	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0	0.0	0.7	0.0	0.0	0.1	0.0	0.0
STK17A	0.2	0.1	0.2	0.1	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.2	0.0	0.0	0.0	0.1
STK17B	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.0	0.2	0.2	0.1	0.1	0.0	0.1	0.1
STK19	0.3	0.2	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.3	0.2	0.0
STK24	0_confirmed	0.1	0.0	0.1	0.2	0_confirmed	0.1	0_confirmed	0.1	0.0	0_confirmed	0.2	0_confirmed	0.1	0_confirmed	0.1	0_confirmed
STK25	0.2	0.1	0.0	0.1	0.1	0.1	0.0	0.1	0.2	0.1	0.2	0.0	0.1	0.0	0.0	0.0	0.0
STK26	0.2	0.0	0.0	0.1	0.2	0.0	0.2	0.0	0.0	0.0	0.2	0.0	0.3	0.2	0.0	0.1	0.1
STK3	0.0	0.1	0.0	0.1	0.6	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.1	0.0
STK31	0.1	0.0	0.0	0.0	0.2	0.1	0.0	0.1	0.2	0.1	0.0	0.0	0.0	0.0	0.2	0.1	0.2
STK32A	0.0	0.0	0.1	0.1	0.2	0.2	0.0	0.0	0.2	0.1	0.0	0.0	0.2	0.1	0.0	0.0	0.1
STK32B	0.2	0.0	0.0	0.1	0.3	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
STK32C	0.0	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.2	0.3	0.0	0.2	0.1	0.0	0.0	0.0
STK33	0.1	0.1	0.0	0.1	0.2	0.1	0.1	0.0	0.0	0.1	0.0	0.3	0.0	0.1	0.0	0.0	0.0
STK35	0.0	0.2	0.0	0.0	0.2	0.2	0.2	0.0	0.1	0.0	0.1	0.1	0.0	0.2	0.2	0.0	0.0
STK36	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.0	0.1	0.2	0.1	0.3	0.0	0.1	0.2	0.0	0.2
STK38	0.0	0.0	0.2	0.2	0.1	0.1	0.1	0.0	0.1	0.1	0.2	0.1	0.1	0.1	0.0	0.0	0.3
STK38L	0.1	0.1	0.2	0.1	0.1	0.2	0.2	0.3	0.1	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.0
STK39	0.1	0_confirmed	0_confirmed	0_confirmed	0.0	0_confirmed	0_confirmed	0.4	0_confirmed	0.3	0_confirmed	0.0	0.4	0.3	0.1	0.5	0.1
STK4	0_confirmed	0.1	0.1	0_confirmed	0.2	0_confirmed	0.1	0.1	0_confirmed	0_confirmed	0_confirmed	0.2	0.0	0.0	0_confirmed	0_confirmed	0_confirmed
STK40	0.0	0.0	0.0	0.0	0.1	0.1	0.3	0.0	0.0	0.2	0.0	0.0	0.2	0.1	0.0	0.1	0.2
STKLD1	0.1	0.2	0.0	0.0	0.0	0.2	0.1	0.0	0.1	0.2	0.1	0.1	0.2	0.0	0.2	0.1	0.3
STMN1	1.0	0.2	0.0	0_confirmed	0.1	0.8	0.4	0.2	0.3	0.6	0.9	0.0	0_confirmed	0.0	0.9	0.8	0.1
